epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.307,1.14326,1.57705,1.40204,0.72983,0.76548,0.75623,0.4624,1.31551,0.92283,1.55421,0.00332542,0.00332542,0.00332542
2,296.496,1.08144,1.11252,1.33152,0.77892,0.73978,0.75288,0.44748,1.34528,0.96694,1.63854,0.00659283,0.00659283,0.00659283
3,440.308,1.14794,1.19494,1.37359,0.73573,0.65016,0.70368,0.38011,1.41496,1.15513,1.67955,0.00979424,0.00979424,0.00979424
4,583.908,1.20363,1.27364,1.40664,0.74721,0.72531,0.75253,0.4375,1.34064,1.20093,1.56971,0.009703,0.009703,0.009703
5,729.185,1.18962,1.23066,1.40517,0.73113,0.7605,0.77881,0.44972,1.28141,1.08358,1.53467,0.009604,0.009604,0.009604
6,876.726,1.16033,1.20513,1.37921,0.74084,0.74921,0.7785,0.46285,1.30354,0.94333,1.50159,0.009505,0.009505,0.009505
7,22492.9,1.13446,1.15709,1.36404,0.80023,0.77281,0.81533,0.48732,1.30505,0.85991,1.50137,0.009406,0.009406,0.009406
8,22641.7,1.11831,1.11592,1.35393,0.73173,0.73712,0.77525,0.45768,1.33729,0.99617,1.57394,0.009307,0.009307,0.009307
9,22792,1.09904,1.09352,1.3432,0.81695,0.82339,0.85484,0.53953,1.23185,0.77796,1.47189,0.009208,0.009208,0.009208
10,22921.7,1.09921,1.07299,1.33704,0.78574,0.77112,0.80149,0.47392,1.34137,0.93172,1.51614,0.009109,0.009109,0.009109
11,23045.5,1.07797,1.03689,1.32821,0.81631,0.78712,0.82595,0.52592,1.25195,0.81511,1.45331,0.00901,0.00901,0.00901
12,23171.9,1.07581,1.02542,1.32024,0.81103,0.7461,0.80304,0.4991,1.23552,0.92262,1.48009,0.008911,0.008911,0.008911
13,23300,1.06255,0.99761,1.31418,0.86265,0.80141,0.86557,0.55846,1.23144,0.75009,1.43659,0.008812,0.008812,0.008812
14,23427.2,1.04927,0.97936,1.30465,0.85241,0.76,0.85053,0.53613,1.23785,0.77816,1.43859,0.008713,0.008713,0.008713
15,23553,1.04005,0.97308,1.2971,0.80291,0.82101,0.84844,0.55067,1.19701,0.75979,1.41344,0.008614,0.008614,0.008614
16,23676.2,1.03506,0.95712,1.29694,0.82191,0.79758,0.83746,0.55472,1.1808,0.76041,1.39928,0.008515,0.008515,0.008515
17,23800.9,1.02007,0.94437,1.28487,0.83789,0.82831,0.87401,0.57598,1.17204,0.71118,1.38336,0.008416,0.008416,0.008416
18,23928.3,1.01421,0.92432,1.2811,0.8204,0.85193,0.86837,0.56987,1.21482,0.71778,1.41493,0.008317,0.008317,0.008317
